Result Group,Suite,Benchmark,Sanitizer,Compile Units,Fallback Units,Original Checks,Core Checks,Core / All,Removed Checks,Removed / All,Removed / Core,Runtime Native,Runtime Before,Runtime After,Sanitizer Overhead %,DESAN Overhead %,Overhead Reduction %,Native Status,Before Status,After Status,Source Summary
spec-cpu2006,CPU2006,433.milc,msan,68,0,4444,4444,100.0,3301,74.27992799279927,74.27992799279927,30.252761,146.800123,100.995333,385.24537314131436,233.83839908033517,39.30143867177363,S,S,S,spec-cpu2006-msan-after-read-check-elimination-summary.csv
spec-cpu2006,CPU2006,435.gromacs,asan,124,0,19386,19295,99.53058908490662,12230,63.0867636438667,63.38429644985748,1.162196,1.878534,1.892939,61.63659141831498,62.87605532973784,-2.0109222182824316,S,S,S,spec-cpu2006-asan-after-read-check-elimination-summary.csv
spec-cpu2006,CPU2006,435.gromacs,ubsan,124,0,58397,50965,87.27331883487165,31502,53.944551946161624,61.811046796821344,1.245334,2.568632,1.983659,106.26048915391375,59.28730766204088,44.205689119155316,S,S,S,spec-cpu2006-ubsan-after-read-check-elimination-summary.csv
spec-cpu2006,CPU2006,436.cactusADM,asan,265,0,21532,21279,98.82500464425041,16440,76.35147687163291,77.25926970252361,3.276435,5.141895,4.843529,56.935663304780945,47.82924123323063,15.994231985676441,S,S,S,spec-cpu2006-asan-after-read-check-elimination-summary.csv
spec-cpu2006,CPU2006,436.cactusADM,ubsan,265,0,52880,45817,86.64334341906202,30439,57.562405446293496,66.43603902481613,3.709347,10.604136,9.801644,185.87608546733426,164.24176546437957,11.639108898038806,S,S,S,spec-cpu2006-ubsan-after-read-check-elimination-summary.csv
spec-cpu2006,CPU2006,444.namd,asan,11,0,7818,7767,99.34765924788948,5229,66.88411358403684,67.32329084588645,39.037377,52.243281,47.543533,33.828871237942046,21.789773426631605,35.58823386873027,S,S,S,spec-cpu2006-asan-after-read-check-elimination-summary.csv
spec-cpu2006,CPU2006,444.namd,ubsan,11,0,19902,16863,84.7301778715707,9621,48.34187518842327,57.053904999110486,40.437675,90.403424,60.578863,123.56236850906983,49.807977337965156,59.69001085123331,S,S,S,spec-cpu2006-ubsan-after-read-check-elimination-summary.csv
spec-cpu2006,CPU2006,444.namd,msan,11,1,1288,1288,100.0,932,72.36024844720497,72.36024844720497,40.437675,220.845866,207.388818,446.13888162462354,412.86039071237406,7.459222292185179,S,S,S,spec-cpu2006-msan-after-read-check-elimination-summary.csv
spec-cpu2006,CPU2006,445.gobmk,asan,67,0,19296,19099,98.97906301824212,14051,72.81820066334991,73.56929682182313,51.816273,105.716748,93.823,104.02229237907557,81.06859981998316,22.066128359722253,S,S,S,spec-cpu2006-asan-after-read-check-elimination-summary.csv
spec-cpu2006,CPU2006,445.gobmk,ubsan,67,0,71111,57836,81.33200208125325,32181,45.25460196031556,55.64181478663808,50.878743,192.2345,113.447307,277.8287132604671,122.97584474522098,55.736812332305654,S,S,S,spec-cpu2006-ubsan-after-read-check-elimination-summary.csv
spec-cpu2006,CPU2006,445.gobmk,msan,67,0,38549,38549,100.0,25702,66.67358426937145,66.67358426937145,50.878743,269.140448,160.334831,428.98407494068795,215.1312739782113,49.85098828949402,S,S,S,spec-cpu2006-msan-after-read-check-elimination-summary.csv
spec-cpu2006,CPU2006,447.dealII,asan,116,0,57939,47193,81.45290736809403,12233,21.113584977303717,25.92121712965906,146.769088,249.677807,234.766804,70.1160717166819,59.956573416876445,14.489542912296862,S,S,S,spec-cpu2006-asan-after-read-check-elimination-summary.csv
spec-cpu2006,CPU2006,447.dealII,ubsan,116,1,222654,193424,86.87200768906015,54929,24.670115964680626,28.398233931673424,156.359173,515.909756,357.201462,229.95170420861717,128.44931649772795,44.140741665825644,S,S,S,spec-cpu2006-ubsan-after-read-check-elimination-summary.csv
spec-cpu2006,CPU2006,450.soplex,asan,63,0,12766,12411,97.21917593608022,5378,42.1275262415792,43.33252759648698,0.024758,0.05573,0.05241,125.09895791259393,111.68915098150094,10.7193594214129,S,S,S,spec-cpu2006-asan-after-read-check-elimination-summary.csv
spec-cpu2006,CPU2006,450.soplex,ubsan,63,0,33571,24768,73.77796312293349,9755,29.057817759375652,39.38549741602067,0.026214,0.07145,0.059795,172.56427862973982,128.10330357824063,25.764877531169862,S,S,S,spec-cpu2006-ubsan-after-read-check-elimination-summary.csv
spec-cpu2006,CPU2006,453.povray,asan,100,0,28061,27762,98.93446420298635,15162,54.032286803748974,54.61422087745839,0.874563,2.854263,2.422081,226.36448146102683,176.94757267343803,21.830681416376223,S,S,S,spec-cpu2006-asan-after-read-check-elimination-summary.csv
spec-cpu2006,CPU2006,453.povray,ubsan,100,0,75702,69966,92.42292145517952,37214,49.1585427069298,53.18869165023011,0.860244,3.166495,1.672253,268.0926574320774,94.39286992992686,64.79095293617218,S,S,S,spec-cpu2006-ubsan-after-read-check-elimination-summary.csv
spec-cpu2006,CPU2006,453.povray,msan,100,0,46029,46029,100.0,36303,78.86984292511244,78.86984292511244,0.860244,8.179539,6.496583,850.8394130037525,655.202361190546,22.993416715680947,S,S,S,spec-cpu2006-msan-after-read-check-elimination-summary.csv
spec-cpu2006,CPU2006,454.calculix,asan,205,0,23863,22381,93.78954867367891,14451,60.558186313539785,64.56816049327556,0.049931,0.124098,0.125748,148.53898379764073,151.84354409084534,-2.2247091024309986,S,S,S,spec-cpu2006-asan-after-read-check-elimination-summary.csv
spec-cpu2006,CPU2006,454.calculix,ubsan,205,0,61444,43171,70.26072521320226,25178,40.97714992513508,58.32155845359153,0.052668,0.167854,0.147216,218.7020581757424,179.51697425381641,17.91710798187279,S,S,S,spec-cpu2006-ubsan-after-read-check-elimination-summary.csv
spec-cpu2006,CPU2006,456.hmmer,asan,57,0,12230,12202,99.7710547833197,7362,60.19623875715454,60.33437141452222,6.964649,19.737738,20.671212,183.3988905973582,196.80192067109198,-7.308130398214561,S,S,S,spec-cpu2006-asan-after-read-check-elimination-summary.csv
spec-cpu2006,CPU2006,456.hmmer,ubsan,57,0,30546,26157,85.63150658023963,15989,52.34400576180187,61.12704056275567,6.631073,55.963456,46.585168,743.9577727465827,602.528354008469,19.010409450522587,S,S,S,spec-cpu2006-ubsan-after-read-check-elimination-summary.csv
spec-cpu2006,CPU2006,456.hmmer,msan,57,0,19970,19970,100.0,16532,82.78417626439659,82.78417626439659,6.631073,50.386548,37.000678,659.855124502475,457.9893027870452,30.592445859632416,S,S,S,spec-cpu2006-msan-after-read-check-elimination-summary.csv
spec-cpu2006,CPU2006,458.sjeng,asan,19,0,4797,4640,96.72712111736502,3170,66.08296852199291,68.31896551724138,5.504834,12.365425,12.082489,124.62848107681359,119.48870756139061,4.1240761911036445,S,S,S,spec-cpu2006-asan-after-read-check-elimination-summary.csv
spec-cpu2006,CPU2006,458.sjeng,ubsan,19,0,11848,9292,78.42673869007427,5001,42.209655638082374,53.82049074472665,5.626821,33.879131,20.137914,502.1007421419662,257.8914985921891,48.637499022203855,S,S,S,spec-cpu2006-ubsan-after-read-check-elimination-summary.csv
spec-cpu2006,CPU2006,458.sjeng,msan,19,0,5675,5675,100.0,4558,80.31718061674009,80.31718061674009,5.626821,54.232793,33.279445,863.8265194503257,491.443107928971,43.10858756203867,S,S,S,spec-cpu2006-msan-after-read-check-elimination-summary.csv
spec-cpu2006,CPU2006,462.libquantum,asan,16,0,778,742,95.37275064267352,457,58.74035989717223,61.59029649595688,0.089941,0.332873,0.113049,270.10151099053826,25.69239835002947,90.48787314968797,S,S,S,spec-cpu2006-asan-after-read-check-elimination-summary.csv
spec-cpu2006,CPU2006,462.libquantum,ubsan,16,0,1806,1300,71.98228128460687,776,42.967884828349945,59.692307692307686,0.105573,0.453591,0.345389,329.6467846892672,227.15656465194698,31.090920584567467,S,S,S,spec-cpu2006-ubsan-after-read-check-elimination-summary.csv
spec-cpu2006,CPU2006,462.libquantum,msan,16,0,1579,1579,100.0,1188,75.23749208359722,75.23749208359722,0.105573,0.487509,0.229071,361.77431729703625,116.97877298172827,67.66526329018475,S,S,S,spec-cpu2006-msan-after-read-check-elimination-summary.csv
spec-cpu2006,CPU2006,470.lbm,asan,2,0,527,520,98.67172675521822,388,73.62428842504744,74.61538461538461,2.563297,5.377971,3.334509,109.80678399732844,30.08672034493078,72.60030824173597,S,S,S,spec-cpu2006-asan-after-read-check-elimination-summary.csv
spec-cpu2006,CPU2006,470.lbm,ubsan,2,0,2197,1042,47.42831133363678,791,36.00364132908512,75.91170825335892,2.671165,14.168693,9.422843,430.4312163419332,252.76154786394702,41.277133658643834,S,S,S,spec-cpu2006-ubsan-after-read-check-elimination-summary.csv
spec-cpu2006,CPU2006,470.lbm,msan,2,0,649,649,100.0,572,88.13559322033898,88.13559322033898,2.671165,10.123219,6.229566,278.98141822014,133.21531990723153,52.24939325453091,S,S,S,spec-cpu2006-msan-after-read-check-elimination-summary.csv
